,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
43591,io.netty.netty-codec,4.0.0,2013-07-15,https://repo1.maven.org/maven2/io/netty/netty-codec/4.0.0.Final/netty-codec-4.0.0.Final.jar,,,,,,,,4.0.1
43593,io.netty.netty-codec,4.0.1,2013-07-16,https://repo1.maven.org/maven2/io/netty/netty-codec/4.0.1.Final/netty-codec-4.0.1.Final.jar,,,,,,,,4.0.2
43621,io.netty.netty-codec,4.0.2,2013-07-17,https://repo1.maven.org/maven2/io/netty/netty-codec/4.0.2.Final/netty-codec-4.0.2.Final.jar,,,,,,,,4.0.3
43647,io.netty.netty-codec,4.0.3,2013-07-18,https://repo1.maven.org/maven2/io/netty/netty-codec/4.0.3.Final/netty-codec-4.0.3.Final.jar,,,,,,,,4.0.4
43622,io.netty.netty-codec,4.0.4,2013-07-23,https://repo1.maven.org/maven2/io/netty/netty-codec/4.0.4.Final/netty-codec-4.0.4.Final.jar,,,,,,,,4.0.5
43650,io.netty.netty-codec,4.0.5,2013-07-31,https://repo1.maven.org/maven2/io/netty/netty-codec/4.0.5.Final/netty-codec-4.0.5.Final.jar,,,,,,,,4.0.6
43651,io.netty.netty-codec,4.0.6,2013-08-01,https://repo1.maven.org/maven2/io/netty/netty-codec/4.0.6.Final/netty-codec-4.0.6.Final.jar,,,,,,,,4.0.7
43652,io.netty.netty-codec,4.0.7,2013-08-08,https://repo1.maven.org/maven2/io/netty/netty-codec/4.0.7.Final/netty-codec-4.0.7.Final.jar,,,,,,,,4.0.8
43653,io.netty.netty-codec,4.0.8,2013-08-26,https://repo1.maven.org/maven2/io/netty/netty-codec/4.0.8.Final/netty-codec-4.0.8.Final.jar,,,,,,,,4.0.9
43654,io.netty.netty-codec,4.0.9,2013-09-06,https://repo1.maven.org/maven2/io/netty/netty-codec/4.0.9.Final/netty-codec-4.0.9.Final.jar,,,,,,,,4.0.10
43655,io.netty.netty-codec,4.0.10,2013-10-03,https://repo1.maven.org/maven2/io/netty/netty-codec/4.0.10.Final/netty-codec-4.0.10.Final.jar,,,,,,,,4.0.11
43656,io.netty.netty-codec,4.0.11,2013-10-21,https://repo1.maven.org/maven2/io/netty/netty-codec/4.0.11.Final/netty-codec-4.0.11.Final.jar,,,,,,,,4.0.12
43657,io.netty.netty-codec,4.0.12,2013-11-07,https://repo1.maven.org/maven2/io/netty/netty-codec/4.0.12.Final/netty-codec-4.0.12.Final.jar,,,,,,,,4.0.13
43658,io.netty.netty-codec,4.0.13,2013-11-28,https://repo1.maven.org/maven2/io/netty/netty-codec/4.0.13.Final/netty-codec-4.0.13.Final.jar,,,,,,,,4.0.14
43659,io.netty.netty-codec,4.0.14,2013-12-22,https://repo1.maven.org/maven2/io/netty/netty-codec/4.0.14.Final/netty-codec-4.0.14.Final.jar,,,,,,,,4.0.15
43660,io.netty.netty-codec,4.0.15,2014-01-21,https://repo1.maven.org/maven2/io/netty/netty-codec/4.0.15.Final/netty-codec-4.0.15.Final.jar,,,,,,,,4.0.16
43661,io.netty.netty-codec,4.0.16,2014-02-20,https://repo1.maven.org/maven2/io/netty/netty-codec/4.0.16.Final/netty-codec-4.0.16.Final.jar,,,,,,,,4.0.17
43662,io.netty.netty-codec,4.0.17,2014-02-24,https://repo1.maven.org/maven2/io/netty/netty-codec/4.0.17.Final/netty-codec-4.0.17.Final.jar,,,,,,,,4.0.18
43663,io.netty.netty-codec,4.0.18,2014-04-01,https://repo1.maven.org/maven2/io/netty/netty-codec/4.0.18.Final/netty-codec-4.0.18.Final.jar,,,,,,,,4.0.19
43664,io.netty.netty-codec,4.0.19,2014-04-30,https://repo1.maven.org/maven2/io/netty/netty-codec/4.0.19.Final/netty-codec-4.0.19.Final.jar,,,,,,,,4.0.20
43665,io.netty.netty-codec,4.0.20,2014-06-12,https://repo1.maven.org/maven2/io/netty/netty-codec/4.0.20.Final/netty-codec-4.0.20.Final.jar,,,,,,,,4.0.21
43666,io.netty.netty-codec,4.0.21,2014-07-01,https://repo1.maven.org/maven2/io/netty/netty-codec/4.0.21.Final/netty-codec-4.0.21.Final.jar,,,,,,,,4.0.22
43667,io.netty.netty-codec,4.0.22,2014-08-14,https://repo1.maven.org/maven2/io/netty/netty-codec/4.0.22.Final/netty-codec-4.0.22.Final.jar,,,,,,,,4.0.23
43668,io.netty.netty-codec,4.0.23,2014-08-15,https://repo1.maven.org/maven2/io/netty/netty-codec/4.0.23.Final/netty-codec-4.0.23.Final.jar,,,,,,,,4.0.24
43669,io.netty.netty-codec,4.0.24,2014-10-29,https://repo1.maven.org/maven2/io/netty/netty-codec/4.0.24.Final/netty-codec-4.0.24.Final.jar,,,,,,,,4.0.25
43670,io.netty.netty-codec,4.0.25,2014-12-31,https://repo1.maven.org/maven2/io/netty/netty-codec/4.0.25.Final/netty-codec-4.0.25.Final.jar,,,,,,,,4.0.26
43671,io.netty.netty-codec,4.0.26,2015-03-02,https://repo1.maven.org/maven2/io/netty/netty-codec/4.0.26.Final/netty-codec-4.0.26.Final.jar,,,,,,,,4.0.27
43672,io.netty.netty-codec,4.0.27,2015-04-02,https://repo1.maven.org/maven2/io/netty/netty-codec/4.0.27.Final/netty-codec-4.0.27.Final.jar,,,,,,,,4.0.28
43649,io.netty.netty-codec,4.0.28,2015-05-07,https://repo1.maven.org/maven2/io/netty/netty-codec/4.0.28.Final/netty-codec-4.0.28.Final.jar,,,,,,,,4.0.29
43673,io.netty.netty-codec,4.0.29,2015-06-23,https://repo1.maven.org/maven2/io/netty/netty-codec/4.0.29.Final/netty-codec-4.0.29.Final.jar,,,,,,,,4.0.30
43648,io.netty.netty-codec,4.0.30,2015-07-24,https://repo1.maven.org/maven2/io/netty/netty-codec/4.0.30.Final/netty-codec-4.0.30.Final.jar,,,,,,,,4.0.31
43646,io.netty.netty-codec,4.0.31,2015-09-02,https://repo1.maven.org/maven2/io/netty/netty-codec/4.0.31.Final/netty-codec-4.0.31.Final.jar,,,,,,,,4.0.32
43623,io.netty.netty-codec,4.0.32,2015-09-30,https://repo1.maven.org/maven2/io/netty/netty-codec/4.0.32.Final/netty-codec-4.0.32.Final.jar,,,,,,,,4.0.33
43624,io.netty.netty-codec,4.0.33,2015-11-03,https://repo1.maven.org/maven2/io/netty/netty-codec/4.0.33.Final/netty-codec-4.0.33.Final.jar,,,,,,,,4.0.34
